Column1,Genes,Type,Regulation,Source,Citation,Subset
194,Plscr1,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
196,Ppfibp2,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
197,Prdm1,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
198,Prkar2a,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
69,Ptprj,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712033",1,Regulatory
203,Ralgps2,mouseBregDEGs,Down,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
52,Rgs13,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712016",1,Regulatory
206,Ripor2,mouseBregDEGs,Down,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
97,Rplp0,Common genes across tissues,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712061",1,Regulatory
209,Sfxn3,mouseBregDEGs,Down,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
81,Sh2d1b1,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712045",1,Regulatory
213,Sowahc,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
95,Sp140,Common genes across tissues,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712059",1,Regulatory
66,Stat1,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712030",1,Regulatory
117,Stmn1,Breg subsets marker genes ,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712081",1,Regulatory
18,Tbc1d9,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.711982",1,Regulatory
218,Tent5a,mouseBregDEGs,Down,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
219,Tent5c,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
222,Tmcc3,mouseBregDEGs,Up,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
35,Zbtb32,B10; Atf3-related gene expression between Breg cells and non-Breg,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.711999",1,Regulatory
42,Zdhhc2,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712006",1,Regulatory
227,Zfp318,mouseBregDEGs,Down,"Dubois, Florian, et al. ""Transcriptional meta‐analysis of regulatory B cells."" European Journal of Immunology 50.11 (2020): 1757-1769.",2,Regulatory
40,Zfp945,B10,Up," Yang, SY et al. (2021) Characterization of Organ-Specific Regulatory B Cells Using Single-Cell RNA Sequencing. Front. Immunol. 12:711980. doi: 10.3389/fimmu.2021.712004",1,Regulatory
